Day of Year,Year,Month,Day,First Hour of Period,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated
251,2008,9,7,4,FALSE,0.637434555,62,29,14.9,1,10,87,7,29.74,0
251,2008,9,7,7,TRUE,0.401832461,62,29,14.9,1,10,84,8,29.76,2963
251,2008,9,7,10,TRUE,0.166230366,62,29,14.9,1,10,68,14,29.77,24553
251,2008,9,7,13,TRUE,0.069371728,62,29,14.9,1,10,61,22,29.73,29986
251,2008,9,7,16,TRUE,0.304973822,62,29,14.9,1,10,70,25,29.71,15403
251,2008,9,7,19,TRUE,0.540575916,62,29,14.9,1,10,87,22,29.73,379
251,2008,9,7,22,FALSE,0.77617801,62,29,14.9,1,10,90,13,29.75,0
252,2008,9,8,1,FALSE,0.875328084,64,31,5.8,3,10,90,7,29.76,0
252,2008,9,8,4,FALSE,0.639107612,64,31,5.8,4,10,87,5,29.75,0
252,2008,9,8,7,TRUE,0.402887139,64,31,5.8,4,9,87,0,29.77,249
252,2008,9,8,10,TRUE,0.166666667,64,31,5.8,1,9,73,5,29.78,9910
252,2008,9,8,13,TRUE,0.069553806,64,31,5.8,1,10,59,10,29.75,28515
252,2008,9,8,16,TRUE,0.305774278,64,31,5.8,1,10,61,14,29.7,17490
252,2008,9,8,19,TRUE,0.541994751,64,31,5.8,1,10,73,6,29.72,773
252,2008,9,8,22,FALSE,0.778215223,64,31,5.8,1,10,87,6,29.75,0
253,2008,9,9,1,FALSE,0.878787879,63,21,10.5,3,10,84,7,29.76,0
253,2008,9,9,4,FALSE,0.641633729,63,21,10.5,3,10,78,7,29.75,0
253,2008,9,9,7,TRUE,0.404479578,63,21,10.5,4,10,81,8,29.78,65
253,2008,9,9,10,TRUE,0.167325428,63,21,10.5,4,10,73,5,29.8,5219
253,2008,9,9,13,TRUE,0.069828722,63,21,10.5,1,10,63,15,29.76,10789
253,2008,9,9,16,TRUE,0.306982872,63,21,10.5,1,10,68,20,29.74,5208
253,2008,9,9,19,TRUE,0.544137022,63,21,10.5,1,10,78,7,29.74,60
253,2008,9,9,22,FALSE,0.781291173,63,21,10.5,3,10,81,13,29.76,0
254,2008,9,10,1,FALSE,0.880952381,64,28,9.7,3,10,81,7,29.76,0
254,2008,9,10,4,FALSE,0.642857143,64,28,9.7,4,10,81,7,29.77,0
254,2008,9,10,7,TRUE,0.404761905,64,28,9.7,4,10,78,7,29.8,1346
254,2008,9,10,10,TRUE,0.166666667,64,28,9.7,3,10,68,3,29.84,18380
254,2008,9,10,13,TRUE,0.071428571,64,28,9.7,1,10,59,16,29.81,28891
254,2008,9,10,16,TRUE,0.30952381,64,28,9.7,1,10,63,18,29.8,14687
254,2008,9,10,19,TRUE,0.547619048,64,28,9.7,1,10,81,15,29.82,345
254,2008,9,10,22,FALSE,0.785714286,64,28,9.7,1,10,84,8,29.85,0
255,2008,9,11,1,FALSE,0.883289125,61,29,11.4,2,10,87,10,29.85,0
255,2008,9,11,4,FALSE,0.644562334,61,29,11.4,4,10,87,3,29.85,0
255,2008,9,11,7,TRUE,0.405835544,61,29,11.4,4,8,84,3,29.87,292
255,2008,9,11,10,TRUE,0.167108753,61,29,11.4,2,10,73,3,29.87,10767
255,2008,9,11,13,TRUE,0.071618037,61,29,11.4,1,10,68,21,29.84,27641
255,2008,9,11,16,TRUE,0.310344828,61,29,11.4,1,10,75,23,29.81,13835
255,2008,9,11,19,TRUE,0.549071618,61,29,11.4,1,10,87,18,29.83,145
255,2008,9,11,22,FALSE,0.787798408,61,29,11.4,1,10,87,10,29.86,0
256,2008,9,12,1,FALSE,0.886817577,60,28,11.7,3,10,90,13,29.87,0
256,2008,9,12,4,FALSE,0.64713715,60,28,11.7,3,10,83,8,29.87,0
256,2008,9,12,7,TRUE,0.407456724,60,28,11.7,4,10,86,5,29.9,229
256,2008,9,12,10,TRUE,0.167776298,60,28,11.7,4,9,81,7,29.93,4349
256,2008,9,12,13,TRUE,0.071904128,60,28,11.7,1,10,68,16,29.88,19126
256,2008,9,12,16,TRUE,0.311584554,60,28,11.7,1,10,73,21,29.85,14692
256,2008,9,12,19,TRUE,0.55126498,60,28,11.7,3,10,80,13,29.88,436
256,2008,9,12,22,FALSE,0.790945406,60,28,11.7,3,10,86,9,29.9,0
257,2008,9,13,1,FALSE,0.886666667,61,29,9,3,10,80,8,29.9,0
257,2008,9,13,4,FALSE,0.646666667,61,29,9,4,10,80,6,29.87,0
257,2008,9,13,7,TRUE,0.406666667,61,29,9,4,10,83,5,29.9,408
257,2008,9,13,10,TRUE,0.166666667,61,29,9,4,10,72,3,29.93,11376
257,2008,9,13,13,TRUE,0.073333333,61,29,9,2,10,61,16,29.89,28611
257,2008,9,13,16,TRUE,0.313333333,61,29,9,2,10,65,17,29.86,14587
257,2008,9,13,19,TRUE,0.553333333,61,29,9,1,10,81,14,29.89,239
257,2008,9,13,22,FALSE,0.793333333,61,29,9,1,10,83,7,29.93,0
258,2008,9,14,1,FALSE,0.890227577,62,29,10.1,4,10,83,5,29.94,0
258,2008,9,14,4,FALSE,0.649263722,62,29,10.1,4,10,87,3,29.94,0
258,2008,9,14,7,TRUE,0.408299866,62,29,10.1,4,10,84,5,29.97,250
258,2008,9,14,10,TRUE,0.167336011,62,29,10.1,3,9,73,7,30,15149
258,2008,9,14,13,TRUE,0.073627845,62,29,10.1,1,10,63,15,29.96,28581
258,2008,9,14,16,TRUE,0.3145917,62,29,10.1,1,10,68,21,29.94,13787
258,2008,9,14,19,TRUE,0.555555556,62,29,10.1,1,10,78,18,29.97,218
258,2008,9,14,22,FALSE,0.796519411,62,29,10.1,1,10,83,13,29.99,0
259,2008,9,15,1,FALSE,0.89261745,60,28,12.6,3,10,86,9,29.99,0
259,2008,9,15,4,FALSE,0.651006711,60,28,12.6,4,10,87,7,29.97,0
259,2008,9,15,7,TRUE,0.409395973,60,28,12.6,4,7,90,7,30.01,413
259,2008,9,15,10,TRUE,0.167785235,60,28,12.6,3,7,78,5,30.01,17412
259,2008,9,15,13,TRUE,0.073825503,60,28,12.6,1,10,63,16,29.95,28239
259,2008,9,15,16,TRUE,0.315436242,60,28,12.6,1,10,70,22,29.92,13397
259,2008,9,15,19,TRUE,0.55704698,60,28,12.6,1,10,83,18,29.94,193
259,2008,9,15,22,FALSE,0.798657718,60,28,12.6,1,10,90,13,29.96,0
260,2008,9,16,1,FALSE,0.894878706,59,28,12.7,2,10,90,11,29.97,0
260,2008,9,16,4,FALSE,0.652291105,59,28,12.7,3,10,83,9,29.96,0
260,2008,9,16,7,TRUE,0.409703504,59,28,12.7,4,9,83,9,29.97,685
260,2008,9,16,10,TRUE,0.167115903,59,28,12.7,3,10,72,7,29.98,16170
260,2008,9,16,13,TRUE,0.075471698,59,28,12.7,1,10,63,21,29.94,28148
260,2008,9,16,16,TRUE,0.318059299,59,28,12.7,2,10,67,20,29.92,13455
260,2008,9,16,19,TRUE,0.5606469,59,28,12.7,1,10,80,14,29.95,198
260,2008,9,16,22,FALSE,0.803234501,59,28,12.7,2,10,78,11,29.99,0
261,2008,9,17,1,FALSE,0.897297297,62,24,9.6,4,10,75,10,30,0
261,2008,9,17,4,FALSE,0.654054054,62,24,9.6,4,10,72,7,29.99,0
261,2008,9,17,7,TRUE,0.410810811,62,24,9.6,4,10,70,3,30.03,332
261,2008,9,17,10,TRUE,0.167567568,62,24,9.6,4,10,63,10,30.07,5866
261,2008,9,17,13,TRUE,0.075675676,62,24,9.6,2,10,52,10,30.04,22094
261,2008,9,17,16,TRUE,0.318918919,62,24,9.6,0,10,54,17,30.01,13893
261,2008,9,17,19,TRUE,0.562162162,62,24,9.6,0,10,70,9,30,154
261,2008,9,17,22,FALSE,0.805405405,62,24,9.6,0,10,72,6,30.01,0
262,2008,9,18,1,FALSE,0.900949796,60,26,7.9,1,10,78,6,30.01,0
262,2008,9,18,4,FALSE,0.656716418,60,26,7.9,1,10,86,0,29.99,0
262,2008,9,18,7,TRUE,0.412483039,60,26,7.9,1,10,83,0,30.02,4342
262,2008,9,18,10,TRUE,0.168249661,60,26,7.9,1,10,56,10,30.05,24175
262,2008,9,18,13,TRUE,0.075983718,60,26,7.9,0,10,49,15,30.02,29378
262,2008,9,18,16,TRUE,0.320217096,60,26,7.9,0,10,51,15,29.98,13686
262,2008,9,18,19,TRUE,0.564450475,60,26,7.9,1,10,65,8,29.96,112
262,2008,9,18,22,FALSE,0.808683853,60,26,7.9,0,10,67,6,29.98,0
263,2008,9,19,1,FALSE,0.902040816,63,21,7.3,1,10,78,3,29.99,0
263,2008,9,19,4,FALSE,0.657142857,63,21,7.3,1,10,80,5,29.98,0
263,2008,9,19,7,TRUE,0.412244898,63,21,7.3,1,10,80,3,29.99,4232
263,2008,9,19,10,TRUE,0.167346939,63,21,7.3,1,10,63,9,30,22783
263,2008,9,19,13,TRUE,0.07755102,63,21,7.3,3,10,61,9,29.98,24479
263,2008,9,19,16,TRUE,0.32244898,63,21,7.3,4,10,63,10,29.97,1628
263,2008,9,19,19,TRUE,0.567346939,63,21,7.3,4,10,81,11,29.98,0
263,2008,9,19,22,FALSE,0.812244898,63,21,7.3,3,10,81,6,29.99,0
264,2008,9,20,1,FALSE,0.904502046,65,28,10.3,4,10,87,8,30.01,0
264,2008,9,20,4,FALSE,0.65893588,65,28,10.3,4,10,90,8,30.01,0
264,2008,9,20,7,TRUE,0.413369714,65,28,10.3,4,10,84,6,30.03,650
264,2008,9,20,10,TRUE,0.167803547,65,28,10.3,4,10,70,9,30.05,9141
264,2008,9,20,13,TRUE,0.077762619,65,28,10.3,2,10,63,11,30.03,25527
264,2008,9,20,16,TRUE,0.323328786,65,28,10.3,3,10,75,15,30.01,12847
264,2008,9,20,19,TRUE,0.568894952,65,28,10.3,4,10,87,14,30,122
264,2008,9,20,22,FALSE,0.814461119,65,28,10.3,3,10,87,15,30,0
265,2008,9,21,1,FALSE,0.906849315,63,27,14.4,3,10,87,8,29.97,0
265,2008,9,21,4,FALSE,0.660273973,63,27,14.4,3,10,81,13,29.96,0
265,2008,9,21,7,TRUE,0.41369863,63,27,14.4,4,10,84,8,29.98,997
265,2008,9,21,10,TRUE,0.167123288,63,27,14.4,2,10,70,10,29.99,12786
265,2008,9,21,13,TRUE,0.079452055,63,27,14.4,2,10,65,20,29.97,28277
265,2008,9,21,16,TRUE,0.326027397,63,27,14.4,2,10,70,24,29.96,12816
265,2008,9,21,19,TRUE,0.57260274,63,27,14.4,1,10,78,16,29.94,81
265,2008,9,21,22,FALSE,0.819178082,63,27,14.4,1,10,84,11,29.96,0
266,2008,9,22,1,FALSE,0.909340659,66,29,7.3,1,10,87,0,29.96,0
266,2008,9,22,4,FALSE,0.662087912,66,29,7.3,0,10,86,3,29.95,0
266,2008,9,22,7,TRUE,0.414835165,66,29,7.3,1,10,81,0,30,4026
266,2008,9,22,10,TRUE,0.167582418,66,29,7.3,1,10,70,5,30.02,23081
266,2008,9,22,13,TRUE,0.07967033,66,29,7.3,1,10,34,16,29.99,27284
266,2008,9,22,16,TRUE,0.326923077,66,29,7.3,0,10,48,17,29.96,12287
266,2008,9,22,19,TRUE,0.574175824,66,29,7.3,1,10,70,16,29.95,79
266,2008,9,22,22,FALSE,0.821428571,66,29,7.3,0,10,78,8,29.97,0
267,2008,9,23,1,FALSE,0.913103448,69,29,8.7,0,10,81,6,29.97,0
267,2008,9,23,4,FALSE,0.664827586,69,29,8.7,0,10,75,3,29.96,0
267,2008,9,23,7,TRUE,0.416551724,69,29,8.7,1,9,84,3,29.98,3974
267,2008,9,23,10,TRUE,0.168275862,69,29,8.7,0,9,73,5,29.99,23119
267,2008,9,23,13,TRUE,0.08,69,29,8.7,0,10,66,6,29.94,26858
267,2008,9,23,16,TRUE,0.328275862,69,29,8.7,0,10,37,21,29.9,12109
267,2008,9,23,19,TRUE,0.576551724,69,29,8.7,0,10,56,18,29.91,65
267,2008,9,23,22,FALSE,0.824827586,69,29,8.7,0,10,75,11,29.94,0
268,2008,9,24,1,FALSE,0.914246196,66,29,10.1,0,10,84,3,29.94,0
268,2008,9,24,4,FALSE,0.665283541,66,29,10.1,0,10,90,5,29.92,0
268,2008,9,24,7,TRUE,0.416320885,66,29,10.1,1,9,90,5,29.94,3749
268,2008,9,24,10,TRUE,0.16735823,66,29,10.1,1,10,66,3,29.95,22695
268,2008,9,24,13,TRUE,0.081604426,66,29,10.1,1,10,51,13,29.92,27114
268,2008,9,24,16,TRUE,0.330567082,66,29,10.1,1,10,49,16,29.89,12017
268,2008,9,24,19,TRUE,0.579529737,66,29,10.1,1,10,56,16,29.89,59
268,2008,9,24,22,FALSE,0.828492393,66,29,10.1,0,10,62,11,29.92,0
269,2008,9,25,1,FALSE,0.918055556,67,29,9.3,0,10,67,3,29.91,0
269,2008,9,25,4,FALSE,0.668055556,67,29,9.3,0,10,80,6,29.9,0
269,2008,9,25,7,TRUE,0.418055556,67,29,9.3,2,10,70,0,29.93,3894
269,2008,9,25,10,TRUE,0.168055556,67,29,9.3,2,10,63,7,29.95,23066
269,2008,9,25,13,TRUE,0.081944444,67,29,9.3,2,10,47,15,29.91,27072
269,2008,9,25,16,TRUE,0.331944444,67,29,9.3,2,10,57,21,29.88,11864
269,2008,9,25,19,TRUE,0.581944444,67,29,9.3,1,10,70,11,29.89,51
269,2008,9,25,22,FALSE,0.831944444,67,29,9.3,0,10,81,8,29.91,0
